247,348,349,247,103,108,174,172,##::HINDI
349,543,545,351,117,128,174,167,##::HINDI
115,146,146,118,181,181,213,213,##::HINDI
150,204,214,155,200,178,196,228,##::HINDI
106,153,162,121,144,111,130,162,##::ENGLISH
170,231,201,163,102,157,171,128,##::ENGLISH
248,374,379,247,205,207,243,242,##::ENGLISH
387,548,549,390,207,210,244,244,##::ENGLISH
249,283,283,249,175,174,191,191,##::ENGLISH
283,322,323,286,177,178,193,191,##::ENGLISH
323,376,376,324,177,178,195,194,##::ENGLISH
378,393,393,377,182,181,195,195,##::ENGLISH
393,407,411,394,181,182,196,195,##::ENGLISH
411,478,479,410,181,182,200,199,##::ENGLISH
478,509,512,479,183,184,200,200,##::ENGLISH
509,545,549,512,181,184,200,199,##::ENGLISH
