404,473,473,402,183,189,231,225,##::HINDI
481,558,560,485,196,200,232,229,##::HINDI
632,731,731,630,200,207,239,235,##::HINDI
735,770,774,739,206,208,249,245,##::HINDI
401,451,451,406,226,227,261,258,##::HINDI
636,755,759,629,238,241,271,264,##::ENGLISH
764,817,822,768,243,248,275,275,##::ENGLISH
638,689,691,646,312,315,349,348,##::HINDI
697,775,769,700,316,317,351,347,##::HINDI
781,828,825,782,319,322,363,353,##::HINDI
538,620,621,546,425,424,455,453,##::HINDI
399,500,498,410,344,349,382,383,##::HINDI
506,546,547,507,346,350,387,386,##::HINDI
396,489,491,403,262,264,292,289,##::ENGLISH
494,558,556,494,266,271,301,295,##::ENGLISH
398,469,469,396,293,298,321,315,##::ENGLISH
635,698,702,641,352,357,384,386,##::ENGLISH
704,800,803,705,357,361,391,387,##::ENGLISH
640,708,712,646,390,390,414,417,##::ENGLISH
403,533,540,403,389,386,418,412,##::ENGLISH
394,464,467,395,413,411,440,439,##::ENGLISH
541,639,643,542,458,454,488,485,##::ENGLISH
