1530,1807,1811,1539,495,498,758,763,##::HINDI
1867,2154,2165,1881,495,489,732,745,##::HINDI
1398,1806,1791,1402,795,778,976,969,##::ENGLISH
1807,2139,2133,1815,800,793,980,978,##::ENGLISH
1474,1817,1791,1522,1024,1024,1265,1248,##::OTHER
1861,2137,2124,1852,1033,1067,1272,1269,##::OTHER
1544,1785,1754,1535,1319,1309,1559,1565,##::OTHER
1785,2068,2039,1757,1345,1361,1650,1595,##::OTHER
1300,1454,1444,1294,1580,1606,1706,1661,##::ENGLISH
1481,1724,1700,1472,1620,1663,1741,1696,##::ENGLISH
1735,2030,2024,1717,1659,1700,1819,1745,##::ENGLISH
