73,161,159,77,49,48,91,88,##::HINDI
178,297,298,189,42,41,83,81,##::HINDI
315,360,360,325,53,54,78,79,##::HINDI
384,432,433,389,44,44,81,81,##::HINDI
73,146,145,82,91,91,133,131,##::HINDI
152,231,232,158,102,101,133,134,##::HINDI
231,260,261,242,89,90,131,131,##::HINDI
268,310,311,275,99,100,139,138,##::HINDI
318,370,373,329,91,88,135,134,##::HINDI
377,411,412,385,88,87,131,132,##::HINDI
413,424,426,419,99,98,133,132,##::HINDI
77,172,171,81,145,146,172,172,##::ENGLISH
176,240,242,176,142,143,177,175,##::ENGLISH
249,317,320,247,152,148,177,176,##::ENGLISH
319,385,386,326,143,141,173,172,##::ENGLISH
388,434,438,396,145,143,170,171,##::ENGLISH
73,168,169,81,184,182,210,210,##::ENGLISH
173,227,227,176,182,182,209,210,##::ENGLISH
229,263,267,236,186,185,205,208,##::ENGLISH
268,316,318,273,184,182,210,208,##::ENGLISH
323,433,434,324,181,180,216,218,##::ENGLISH
