167,277,276,172,98,100,152,144,##::HINDI
283,486,483,288,99,101,140,137,##::HINDI
166,354,354,168,143,153,195,192,##::ENGLISH
369,550,552,370,146,145,187,188,##::ENGLISH
166,338,339,166,214,220,271,270,##::HINDI
346,554,556,354,229,230,272,270,##::HINDI
163,426,428,165,276,274,316,316,##::ENGLISH
443,625,631,443,275,272,316,316,##::ENGLISH
158,371,375,163,397,398,444,445,##::ENGLISH
391,587,587,395,398,398,447,449,##::ENGLISH
159,328,326,165,334,337,392,390,##::HINDI
334,588,586,343,346,345,394,401,##::HINDI
