174,312,313,181,44,36,81,79,##::HINDI
322,402,403,323,39,38,83,80,##::HINDI
178,315,316,179,85,88,123,124,##::HINDI
321,402,407,320,86,86,131,126,##::HINDI
91,326,326,92,149,145,177,182,##::ENGLISH
334,480,484,341,146,147,180,177,##::ENGLISH
128,284,283,128,183,180,217,214,##::ENGLISH
305,461,459,305,181,181,214,213,##::ENGLISH
97,119,119,98,220,218,237,239,##::HINDI
123,177,178,122,220,221,238,238,##::HINDI
176,206,209,182,218,218,240,240,##::HINDI
213,272,274,216,221,219,242,239,##::HINDI
275,301,304,281,220,218,240,242,##::HINDI
305,354,352,305,217,220,242,242,##::HINDI
353,405,402,355,220,219,238,240,##::HINDI
407,473,474,408,222,221,246,245,##::HINDI
