110,191,186,112,299,301,348,354,##::HINDI
200,303,307,205,307,309,347,350,##::HINDI
317,427,429,329,300,293,351,355,##::HINDI
438,497,494,448,294,294,340,343,##::HINDI
508,608,610,514,292,295,347,350,##::HINDI
620,701,704,622,290,292,338,337,##::HINDI
112,261,261,120,367,374,419,426,##::HINDI
270,353,352,275,368,370,414,416,##::HINDI
359,396,396,364,366,365,416,415,##::HINDI
405,503,505,413,361,359,418,416,##::HINDI
512,566,571,521,360,359,416,417,##::HINDI
577,655,654,586,365,367,411,411,##::HINDI
660,698,701,668,362,358,409,408,##::HINDI
121,239,238,121,453,445,494,490,##::HINDI
235,319,321,249,440,434,482,486,##::HINDI
323,384,384,329,438,436,488,491,##::HINDI
387,520,518,394,430,433,478,484,##::HINDI
519,594,594,530,425,426,474,479,##::HINDI
594,625,632,601,426,423,470,474,##::HINDI
632,709,714,635,420,423,466,472,##::HINDI
