603,805,794,618,71,97,189,168,##::HINDI
825,1033,1035,830,63,97,211,188,##::HINDI
1048,1235,1247,1057,95,120,229,210,##::HINDI
569,735,742,556,569,211,214,336,333,223,##::HINDI
751,950,969,767,218,245,354,349,##::HINDI
980,1111,1108,982,267,275,363,345,##::HINDI
1111,1263,1269,1128,276,286,360,364,##::HINDI
591,793,790,596,457,458,558,560,##::ENGLISH
809,1077,1078,822,460,471,562,560,##::ENGLISH
1100,1269,1264,1104,470,475,557,558,##::ENGLISH
552,722,722,564,619,616,715,721,##::ENGLISH
729,785,783,747,610,612,705,702,##::ENGLISH
786,938,951,799,607,611,699,701,##::ENGLISH
950,1152,1157,963,602,599,694,699,##::ENGLISH
1165,1194,1204,1161,608,597,690,689,##::ENGLISH
1203,1293,1293,1211,598,599,676,680,##::ENGLISH
1044,1193,1190,1039,2,5,55,40,##::ENGLISH
1199,1272,1269,1196,7,21,76,60,##::ENGLISH
