39,168,163,32,77,77,181,174,##::HINDI
160,257,256,163,89,97,192,187,##::HINDI
255,417,416,257,65,79,205,196,##::HINDI
415,503,496,412,77,81,206,190,##::HINDI
497,623,625,496,79,71,192,193,##::HINDI
621,699,683,621,66,71,188,180,##::HINDI
34,193,202,39,178,182,296,291,##::HINDI
197,327,321,197,188,194,304,298,##::HINDI
327,411,399,326,189,192,295,310,##::HINDI
406,541,528,406,187,185,319,312,##::HINDI
537,697,690,533,192,198,325,294,##::HINDI
121,293,290,121,321,323,430,422,##::HINDI
295,503,499,301,326,329,433,430,##::HINDI
501,587,583,510,301,303,447,434,##::HINDI
